host,virus,longitude,latitude,n_tested,n_positive,prevalence
Apodemus agrarius,NA,126.8358,37.0692,104,4,0.038461538461538464
Apodemus agrarius,NA,126.845,36.679,119,1,0.008403361344537815
Apodemus agrarius,NA,126.849,35.165,60,4,0.06666666666666667
Apodemus agrarius,NA,126.91,35.17,16,9,0.5625
Apodemus agrarius,NA,127.0833,34.7667,42,8,0.19047619047619047
Apodemus agrarius,NA,127.15,35.817,102,0,0
Apodemus agrarius,NA,127.464,35.209,141,0,0
Apodemus agrarius,NA,127.655,36.77,25,2,0.08
Apodemus agrarius,NA,128.166,35.57,151,0,0
Apodemus chejuensis,NA,126.1806,33.3175,6,0,0
Apodemus chejuensis,NA,126.3053,33.4142,10,6,0.6
Apodemus chejuensis,NA,126.3422,33.435,6,1,0.16666666666666666
Apodemus chejuensis,NA,126.5106,33.4533,18,6,0.3333333333333333
Apodemus chejuensis,NA,126.5458,33.4653,13,1,0.07692307692307693
Apodemus chejuensis,NA,126.8114,33.5508,20,1,0.05
Apodemus peninsulae,Orthohantavirus hantanense,126.833362833606,36.708826907126,3,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.029707949417,36.800068480894,3,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.230767489624,38.2565287261733,1,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.321259676475,38.0877828533562,3,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.510286820091,37.8319928933462,22,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.690204264442,36.9514120543678,1,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.699577822968,38.1277580337753,2,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.715506079355,37.9196941410611,1,0,0
Apodemus peninsulae,Orthohantavirus hantanense,127.715670618227,35.9350076875605,115,21,0.1826086956521739
Apodemus peninsulae,Orthohantavirus hantanense,127.802258693049,36.608761947948,14,3,0.21428571428571427
Apodemus peninsulae,Orthohantavirus hantanense,127.888736853077,37.7405383619472,119,19,0.15966386554621848
Apodemus peninsulae,Orthohantavirus hantanense,127.896494409833,37.7763148819193,4,0,0
Apodemus peninsulae,Orthohantavirus hantanense,128.125745713775,36.7065351614225,8,0,0
Apodemus peninsulae,Orthohantavirus hantanense,128.165724859812,38.0967373285147,18,0,0
Apodemus peninsulae,Orthohantavirus hantanense,128.167164395972,38.1142586383,55,7,0.12727272727272726
Apodemus peninsulae,Orthohantavirus hantanense,128.402480061028,37.3939106141483,4,0,0
Apodemus peninsulae,Orthohantavirus hantanense,128.48911980398,37.548957793672,6,0,0
Apodemus peninsulae,Orthohantavirus hantanense,128.794317212661,35.9633940825083,13,0,0
Apodemus peninsulae,NA,127.655,36.77,54,16,0.2962962962962963
Cricetulus triton,Orthohantavirus hantanense,127.25,37.25,8,0,0
Cricetulus triton,Orthohantavirus hantanense,127.510286820091,37.8319928933462,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.784095565122,37.4408251941258,3,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.833362833606,36.708826907126,3,1,0.3333333333333333
Crocidura lasiura,Orthohantavirus hantanense,126.8486,35.1653,98,3,0.030612244897959183
Crocidura lasiura,Orthohantavirus hantanense,126.85006,37.978308,38,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.901068673171,37.1841295149966,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.9029,37.9468,2,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.9306,37.9147,2,0,0
Crocidura lasiura,Orthohantavirus hantanense,126.983782,37.922854,93,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.029707949417,36.800068480894,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.0412,38.0483,2,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.0688,38.0237,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.069804955727,38.0257173638773,14,1,0.07142857142857142
Crocidura lasiura,Orthohantavirus hantanense,127.07705,38.11002,24,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.08,38.1,80,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.1056,38.1668,6,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.1069191,38.051592,56,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.131222878429,35.8442043117436,12,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.202452754692,37.9108405306045,3,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.2165,38.2107,7,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.230767489624,38.2565287261733,4,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.25,37.25,52,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.285,38.1778,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.321259676475,38.0877828533562,67,1,0.014925373134328358
Crocidura lasiura,Orthohantavirus hantanense,127.510286820091,37.8319928933462,2,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.699577822968,38.1277580337753,12,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.7054,38.1067,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.7055,38.1056,3,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.715506079355,37.9196941410611,26,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.715670618227,35.9350076875605,8,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.7278,37.8805,4,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.75,38.04,87,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.802258693049,36.608761947948,6,0,0
Crocidura lasiura,Orthohantavirus hantanense,127.888736853077,37.7405383619472,13,2,0.15384615384615385
Crocidura lasiura,Orthohantavirus hantanense,127.896494409833,37.7763148819193,4,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.125745713775,36.7065351614225,6,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.165724859812,38.0967373285147,12,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.167164395972,38.1142586383,5,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.2638,38.0762,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.402480061028,37.3939106141483,3,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.5914,37.6709,1,0,0
Crocidura lasiura,Orthohantavirus hantanense,128.794317212661,35.9633940825083,4,0,0
Crocidura lasiura,Orthohantavirus seoulense,126.9029,37.9468,2,0,0
Crocidura lasiura,Orthohantavirus seoulense,127.0412,38.0483,2,0,0
Crocidura lasiura,Orthohantavirus seoulense,127.285,38.1778,1,0,0
Crocidura lasiura,Orthohantavirus seoulense,127.7055,38.1056,3,0,0
Crocidura lasiura,Orthohantavirus seoulense,127.75,38.04,87,0,0
Crocidura lasiura,Orthohantavirus seoulense,128.2638,38.0762,1,0,0
Crocidura lasiura,Orthohantavirus seoulense,128.5914,37.6709,1,0,0
Crocidura lasiura,Thottimvirus imjinense,126.777,37.7595,4,4,1
Crocidura lasiura,Thottimvirus imjinense,126.8,37.87,44,7,0.1590909090909091
Crocidura lasiura,Thottimvirus imjinense,126.9029,37.9468,4,3,0.75
Crocidura lasiura,Thottimvirus imjinense,126.915,37.944,6,6,1
Crocidura lasiura,Thottimvirus imjinense,127.013,36.9668,2,2,1
Crocidura lasiura,Thottimvirus imjinense,127.0412,38.0483,4,3,0.75
Crocidura lasiura,Thottimvirus imjinense,127.07,38.024,6,6,1
Crocidura lasiura,Thottimvirus imjinense,127.0833,38.1,130,14,0.1076923076923077
Crocidura lasiura,Thottimvirus imjinense,127.2,37.89,56,4,0.07142857142857142
Crocidura lasiura,Thottimvirus imjinense,127.204,37.898,2,2,1
Crocidura lasiura,Thottimvirus imjinense,127.285,38.1778,2,1,0.5
Crocidura lasiura,Thottimvirus imjinense,127.35,38.0666,4,4,1
Crocidura lasiura,Thottimvirus imjinense,127.7055,38.1056,6,4,0.6666666666666666
Crocidura lasiura,Thottimvirus imjinense,127.75,38.04,174,0,0
Crocidura lasiura,Thottimvirus imjinense,128,36,492,26,0.052845528455284556
Crocidura lasiura,Thottimvirus imjinense,128.2638,38.0762,2,2,1
Crocidura lasiura,Thottimvirus imjinense,128.5914,37.6709,2,1,0.5
Crocidura shantungensis,Orthohantavirus hantanense,127.2165,38.2107,1,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.230767489624,38.2565287261733,1,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.699577822968,38.1277580337753,2,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.7054,38.1067,1,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.715506079355,37.9196941410611,9,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.7278,37.8805,1,0,0
Crocidura shantungensis,Orthohantavirus hantanense,127.896494409833,37.7763148819193,1,0,0
Crocidura shantungensis,Orthohantavirus hantanense,128.402480061028,37.3939106141483,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.1011,34.827,5,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.387,37.849,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.5243,33.5158,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.56,33.24,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.582,33.267,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.785,35.302,3,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.8083,37.8627,7,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.991,37.5626,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,126.9991,35.3024,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.006,37.287,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.0295,38.104,4,2,0.5
Crocidura shantungensis,Orthohantavirus jejuense,127.1667,36.239,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.24417,35.96928,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.2506,37.9783,10,1,0.1
Crocidura shantungensis,Orthohantavirus jejuense,127.284,34.6478,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.4148,38.2534,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.4155,38.2545,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.483,36.633,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.4894,36.1515,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.5039,35.2447,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.6845,38.1427,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.6873,38.147,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.7397,37.89974,9,4,0.4444444444444444
Crocidura shantungensis,Orthohantavirus jejuense,127.9,35.68,3,0,0
Crocidura shantungensis,Orthohantavirus jejuense,127.926,37.3207,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,128.0798,37.757,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,128.13823,37.09273,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,128.4926,35.54896,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,128.5917,38.01511,4,0,0
Crocidura shantungensis,Orthohantavirus jejuense,128.834,37.7184,2,0,0
Crocidura shantungensis,Orthohantavirus jejuense,129.122,37.288,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,129.234,35.845,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,129.307,36.9451,1,0,0
Crocidura shantungensis,Orthohantavirus jejuense,129.32615,36.945,3,0,0
Crocidura shantungensis,Orthohantavirus jejuense,130.867,37.51,2,0,0
Micromys minutus,Orthohantavirus hantanense,126.85006,37.978308,10,0,0
Micromys minutus,Orthohantavirus hantanense,126.8525,36.994,2,0,0
Micromys minutus,Orthohantavirus hantanense,126.983782,37.922854,18,0,0
Micromys minutus,Orthohantavirus hantanense,127.053630295793,37.5180057569167,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.069804955727,38.0257173638773,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.07705,38.11002,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.08,38.1,5,1,0.2
Micromys minutus,Orthohantavirus hantanense,127.1069191,38.051592,4,1,0.25
Micromys minutus,Orthohantavirus hantanense,127.2165,38.2107,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.230767489624,38.2565287261733,2,0,0
Micromys minutus,Orthohantavirus hantanense,127.25,37.25,2,0,0
Micromys minutus,Orthohantavirus hantanense,127.269595325837,37.0080796825113,1,0,0
Micromys minutus,Orthohantavirus hantanense,127.321259676475,38.0877828533562,24,1,0.041666666666666664
Micromys minutus,Orthohantavirus hantanense,127.510286820091,37.8319928933462,1,0,0
